Фамилия_0;Имя_0;Город_4; +7 999 123 ** **;
Фамилия_1;Имя_1;Город_6; +7 999 123 ** **;
Фамилия_2;Имя_2;Город_5; +7 999 123 ** **;
Фамилия_3;Имя_3;Город_9; +7 999 123 ** **;
Фамилия_4;Имя_4;Город_4; +7 999 123 ** **;
Фамилия_5;Имя_5;Город_9; +7 999 123 ** **;
Фамилия_6;Имя_6;Город_4; +7 999 123 ** **;
Фамилия_7;Имя_7;Город_9; +7 999 123 ** **;
Фамилия_8;Имя_8;Город_1; +7 999 123 ** **;
Фамилия_9;Имя_9;Город_5; +7 999 123 ** **;
Фамилия_10;Имя_10;Город_8; +7 999 123 ** **;
Фамилия_11;Имя_11;Город_9; +7 999 123 ** **;
Фамилия_12;Имя_12;Город_7; +7 999 123 ** **;
Фамилия_13;Имя_13;Город_1; +7 999 123 ** **;
Фамилия_14;Имя_14;Город_9; +7 999 123 ** **;
Фамилия_15;Имя_15;Город_3; +7 999 123 ** **;
Фамилия_16;Имя_16;Город_4; +7 999 123 ** **;
Фамилия_17;Имя_17;Город_7; +7 999 123 ** **;
Фамилия_18;Имя_18;Город_7; +7 999 123 ** **;
Фамилия_19;Имя_19;Город_4; +7 999 123 ** **;
Фамилия_20;Имя_20;Город_6; +7 999 123 ** **;
Фамилия_21;Имя_21;Город_4; +7 999 123 ** **;
Фамилия_22;Имя_22;Город_6; +7 999 123 ** **;
Фамилия_23;Имя_23;Город_3; +7 999 123 ** **;
Фамилия_24;Имя_24;Город_1; +7 999 123 ** **;
Фамилия_25;Имя_25;Город_1; +7 999 123 ** **;
Фамилия_26;Имя_26;Город_9; +7 999 123 ** **;
Фамилия_27;Имя_27;Город_9; +7 999 123 ** **;
Фамилия_28;Имя_28;Город_4; +7 999 123 ** **;
Фамилия_29;Имя_29;Город_4; +7 999 123 ** **;
Фамилия_30;Имя_30;Город_8; +7 999 123 ** **;
Фамилия_31;Имя_31;Город_6; +7 999 123 ** **;
Фамилия_32;Имя_32;Город_3; +7 999 123 ** **;
Фамилия_33;Имя_33;Город_7; +7 999 123 ** **;
Фамилия_34;Имя_34;Город_6; +7 999 123 ** **;
Фамилия_35;Имя_35;Город_1; +7 999 123 ** **;
Фамилия_36;Имя_36;Город_1; +7 999 123 ** **;
Фамилия_37;Имя_37;Город_2; +7 999 123 ** **;
Фамилия_38;Имя_38;Город_8; +7 999 123 ** **;
Фамилия_39;Имя_39;Город_6; +7 999 123 ** **;
Фамилия_40;Имя_40;Город_1; +7 999 123 ** **;
Фамилия_41;Имя_41;Город_7; +7 999 123 ** **;
Фамилия_42;Имя_42;Город_1; +7 999 123 ** **;
Фамилия_43;Имя_43;Город_8; +7 999 123 ** **;
Фамилия_44;Имя_44;Город_3; +7 999 123 ** **;
Фамилия_45;Имя_45;Город_2; +7 999 123 ** **;
Фамилия_46;Имя_46;Город_5; +7 999 123 ** **;
Фамилия_47;Имя_47;Город_7; +7 999 123 ** **;
Фамилия_48;Имя_48;Город_3; +7 999 123 ** **;
Фамилия_49;Имя_49;Город_6; +7 999 123 ** **;
